salt_names,side_effects
Leuprolide ,"Muscle weakness, Increased sweating, Bone pain, Fatigue, Erectile dysfunction, Injection site reaction, Decreased libido, Testicular atrophy"
Levamisole ,"Vomiting, Dizziness, Nausea, Abdominal pain, Headache"
Levetiracetam ,"Infection, Dizziness, Fatigue, Behavioural changes, Irritation, Agitation, Nasal congestion (stuffy nose), Sleepiness, Aggressive behavior, Headache, Decreased appetite"
Levobunolol ,"Eye irritation, Headache, Dizziness, Watery eyes, Dry eye, Eye pain, Eyelid swelling"
Levocetirizine ,"Vomiting, Nausea, Fatigue, Allergic reaction, Dryness in mouth, Sleepiness, Skin rash, Headache, Diarrhea, Weakness"
Levocloperastine ,"Nausea, Dizziness, Fatigue, Palpitations, Loss of appetite, Dryness in mouth, Sleepiness, Drowsiness, Headache, Fainting, Increased thirst, Hydrodipsomania (periodic episodes of uncontrollable thirst)"
Levodopa ,"Urine discoloration, Vomiting, Nausea, Constipation, Dizziness, Anxiety, Insomnia (difficulty in sleeping), Orthostatic hypotension (sudden lowering of blood pressure on standing), Dryness in mouth, Sleepiness, Abnormality of voluntary movements, Headache, Abnormal dreams"
Levodropropizine ,"Acne-like rash, Vomiting, Nausea, Fatigue, Dizziness, Abdominal pain, Anxiety, Insomnia (difficulty in sleeping), Palpitations, Heartburn, Drowsiness, Headache, Diarrhea, Sleeping for unusually long periods, Chest pain, Weakness"
Levofloxacin ,"Vomiting, Dizziness, Nausea, Constipation, Injection site reactions (pain, swelling, Insomnia (difficulty in sleeping), Stomach pain, Allergic reaction, Headache, Diarrhea, redness)"
Levosalbutamol ,"Increased heart rate, Tremor, Fungal infection of mouth, Hoarseness of voice, Sore throat, Palpitations, Respiratory tract infection, Muscle cramp, Throat pain, Dryness in mouth, Nasal congestion (stuffy nose), Headache, Breathlessness, Cough"
Levosulpiride ,"Flu-like symptoms, Flatulence, Vomiting, Nausea, Constipation, Stomach pain, Dizziness, Fatigue, Injection site reactions (pain, Upset stomach, swelling, Sleepiness, Headache, Diarrhea, redness), Weakness"
Lidocaine ,"Limited data available, itching and redness), Burning sensation, Anal irritation, Ear discomfort, Application site irritation, irritation, Injection site reactions (pain, swelling, Stinging sensation, Allergic reaction, Application site reactions (burning, redness)"
Linagliptin ,"Hypoglycemia (low blood glucose level), Nasopharyngitis (inflammation of the throat and nasal passages)"
Lincomycin ,"Vomiting, Nausea, Stomach pain, Injection site reactions (pain, swelling, Headache, Diarrhea, redness)"
Linezolid ,"white cells, Vomiting, Nausea, Decreased blood cells (red cells, and platelets), Headache, Diarrhea"
Liquid Paraffin ,No common side effects seen
Lisinopril ,"Indigestion, Nausea, Dizziness, Taste change, Stomach pain, Decreased blood pressure, Glucose intolerance, Fatigue, Cough, Increased potassium level in blood, Increased blood uric acid, Headache, Diarrhea, Electrolyte imbalance, Increased blood lipid level, Weakness"
Lithium carbonate ,"Tremor, Polyuria, Slurred speech, Acne, Nausea, Memory impairment, Hair loss, Goiter (enlarged thyroid gland), Uncoordinated body movements, Skin rash, Increased white blood cell count, Diarrhea, Weight gain, Increased thirst"
Live Freeze Dried Lactic Acid Bacteria and Bifidobacteria ,"Bloating, Flatulence"
Liver Extract ,No common side effects seen
Lomustine ,"Nausea, Vomiting, Hair loss, Decreased white blood cell count"
Loperamide ,"Nausea, Constipation, Stomach pain, Headache"
Loratadine ,"Sleepiness, Increased appetite"
Lorazepam ,"Dizziness, Balance disorder (loss of balance), Sedation, Weakness"
Losartan ,"ears, Altered blood lipid level, Dizziness, Tiredness, Taste change, Palpitations, Glucose intolerance, Upset stomach, Increased potassium level in blood, Sleepiness, neck and trunk), Increased blood uric acid, Flushing (sense of warmth in the face, Headache, Ankle swelling"
Loteprednol etabonate ,"Eye irritation, Eye discomfort, Watery eyes, Burning sensation"
Low Dextrans ,"redness), Injection site reactions (pain, swelling"
Lubiprostone ,"Flatulence, Nausea, Abdominal pain, Headache, Diarrhea, Abdominal distension"
Luliconazole ,"itching and redness), Blisters on skin, Skin peeling, irritation, Dry skin, Application site reactions (burning"
Lurasidone ,"Indigestion, Akathisia (inability to stay still), Increased saliva production, Vomiting, Nausea, Anxiety, Upper abdominal pain, Insomnia (difficulty in sleeping), Stomach discomfort, Agitation, Dryness in mouth, Sleepiness, Restlessness, Parkinsonism, Weight gain"
Lymecycline ,"Nausea, Photosensitivity, Diarrhea, Vomiting"
Lysine ,"Nausea, Diarrhea, Stomach pain, Vomiting"
Magaldrate ,"Diarrhea, Constipation, Chalky taste, Allergic reaction"
Magnesium Bisglycinate ,"Nausea, Diarrhea, Upset stomach"
Magnesium Carbonate ,"Flatulence, Increased production of urine, Stomach cramp, Increased potassium level in blood, Diarrhea"
Magnesium Citrate ,"Nausea, Diarrhea, Stomach pain, Vomiting"
Magnesium Sulphate ,"redness), Injection site reactions (pain, swelling"
Measles Vaccine ,"Fever, Rash, Injection site soreness"
Mebendazole ,Abdominal pain
Mebeverine ,Skin rash
Meclizine ,"Vomiting, Fatigue, Insomnia (difficulty in sleeping), Allergic reaction, Dryness in mouth, Sleepiness, Drowsiness, Headache"
Medroxyprogesterone acetate ,"Irregular menstrual cycle, Abdominal pain, Dizziness, Nervousness, Breast tenderness, Headache, Weight gain, Weakness"
Mefenamic Acid ,"Indigestion, Vomiting, Nausea, Tiredness, Stomach pain, Sinus pain, Anemia (low number of red blood cells), Loss of appetite, muscle or joint) pain, Sinus inflammation, Nasal congestion (stuffy nose), Musculoskeletal (bone, Headache, Diarrhea, Heartburn"
Megestrol ,"Increased appetite, Increased glucose level in blood, Constipation, Hot flashes, High blood pressure, Weight gain"
Meglumine Diatrizoate ,"ears, Vomiting, Nausea, neck and trunk), Flushing (sense of warmth in the face"
Melatonin ,"Nausea, Dizziness, No common side effects seen, Drowsiness, Headache, Diarrhea"
Meloxicam ,"Indigestion, Vomiting, Nausea, Stomach pain, Diarrhea"
Melphalan ,"Vomiting, Nausea, Decreased white blood cell count, Hair loss, Anemia (low number of red blood cells), Stomatitis (Inflammation of the mouth), Diarrhea, Low blood platelets"
Memantine ,"Confusion, Hypersensitivity, Dizziness, Abnormal liver function tests, Pulmonary hypertension (high blood pressure), Sleepiness, Balance disorder (loss of balance), Headache, Diarrhea, Breathlessness"
Menadione ,"redness), Injection site reactions (pain, swelling"
Menadione Sodium Bisulfite ,Limited data available
Meningococcal Vaccine ,"Vomiting, Dizziness, Fatigue, Nausea, Loss of appetite, Irritation, Injection site reaction, Sleepiness, Headache, Diarrhea"
Menotrophin ,"Ovarian hyperstimulation syndrome, Injection site allergic reaction, Injection site pain, Abdominal pain, Nausea, Abdominal cramp, Headache"
Menthol ,"Dry skin, Ear discomfort, Irritation"
Mercaptopurine ,"Intestinal ulcer, Vomiting, Nausea, Increased transaminase level in blood, Increased bilirubin in the blood, Anemia (low number of red blood cells), Loss of appetite, Rash, Decreased white blood cell count (neutrophils), Diarrhea, Low blood platelets"
Meropenem ,"Vomiting, Nausea, Constipation, Anemia (low number of red blood cells), Rash, Headache, Diarrhea"
Mesalazine ,"Flatulence, Rectal discomfort, Nausea, Hair loss, Fever, Itching, Stomach pain/epigastric pain, Headache, Diarrhea"
Mesna ,"ears, Increased risk of infection, Vomiting, Nausea, Decreased white blood cell count, Hair loss, neck and trunk), Flushing (sense of warmth in the face, Diarrhea, Flu-like symptoms, Blood in urine, Lightheadedness, Anemia (low number of red blood cells), Headache, Lethargy, Abdominal pain, Fever, Neurotoxicity, Rash"
Mesterolone ,"Headache, Breast enlargement, Edema (swelling), Acne"
Metadoxine ,"Nausea, Diarrhea, Upset stomach"
Metaxalone ,"Dizziness, Upset stomach"
Metformin ,"Vomiting, Nausea, Abdominal pain, Taste change, Sore throat, Loss of appetite, Upset stomach, Respiratory tract infection, Hypoglycaemia (low blood sugar level) in combination with insulin or sulphonylurea, Nasal congestion (stuffy nose), Headache, Diarrhea"
Metformin  ,"Vomiting, Nausea, Dizziness, Stomach pain, Loss of appetite, Metallic taste, Headache, Diarrhea, Trembling, Hypoglycemia (low blood glucose level)"
Methimazole ,"Joint pain, Muscle pain, Nausea, Hair loss, Taste change, Skin rash, Paresthesia (tingling or pricking sensation), Drowsiness, Headache"
Methocarbamol ,"Dizziness, Dryness in mouth, Sleepiness, Upset stomach"
Methotrexate ,"Indigestion, Increased risk of infection, Mouth sore, Vomiting, Abdominal pain, Nausea, Tiredness, Fever, Dizziness, Loss of appetite, Upset stomach, Decreased white blood cell count, Stomatitis (Inflammation of the mouth), Increased liver enzymes, Weakness"
Methyl Folate ,"Hyperactivity, Flatulence, Acne, Nausea, Taste change, Impaired concentration, Impaired judgment, Loss of appetite, Itching, Skin reaction, Irritation, Gastrointestinal discomfort, No common side effects seen, Bitter taste, Confusion, Sleep disorder, Excitement"
Methylcobalamin ,"Nasal discomfort, Vomiting, Dizziness, Tiredness, Nausea, Loss of appetite, Uncoordinated body movements, Sleepiness, No common side effects seen, Headache, Diarrhea"
Methylergometrine ,"High blood pressure, Seizure, Headache"
Methylphenidate ,"Abdominal pain, Headache, Nervousness, Insomnia (difficulty in sleeping)"
Methylprednisolone ,"Increased risk of infection, Sweating, Nausea, Dizziness, Thinning of skin, Behavioural changes, Upset stomach, Reduction in bone density, Edema (swelling), Headache, Weight gain, Mood changes"
Metoclopramide ,"Fatigue, Restlessness, Weakness"
Metronidazole ,"Flatulence, Erythema (skin redness), itching and redness), Muscle pain, Nausea, Glossitis (tongue inflammation), irritation, Dry skin, Stomatitis (Inflammation of the mouth), Dryness in mouth, Application site reactions (burning, Metallic taste, Headache"
Miconazole ,"itching and redness), Blisters on skin, Skin peeling, irritation, Dry skin, Application site reactions (burning"
Midazolam ,"Nasal discomfort, Vomiting, Nausea, Hiccup, Injection site reactions (pain, swelling, Throat irritation, Sleepiness, Drowsiness, Headache, redness), Runny nose, Sedation, Cough"
Mifepristone ,"Uterine cramps, Vomiting, Nausea, Stomach cramp, Uterine contractions, Uterine bleeding, Infection following abortion, Menorrhagia (heavy menstrual bleeding), Diarrhea"
Milk of Magnesia ,Diarrhea
Minocycline ,"Vomiting, Dizziness, Nausea, Photosensitivity, Itching, Headache, Diarrhea"
Mirabegron ,"Constipation, High blood pressure, Nasal inflammation, Headache, Urinary tract infection"
Mirtazapine ,"Increased appetite, Dryness in mouth, Sleepiness, Headache, Weight gain"
Misoprostol ,"Uterine cramps, Vomiting, Nausea, Uterine contractions, Cramps, Infection following abortion, Menorrhagia (heavy menstrual bleeding), Diarrhea"
Mitomycin ,"Decreased white blood cell count, Nausea, Vomiting, Anemia (low number of red blood cells), Loss of appetite, Increased bleeding tendency, Weight loss, Feeling of discomfort, Rash, Low blood platelets"
Mitoxantrone ,"Decreased white blood cell count, Nausea, Absence of menstrual periods, Hair loss, Vomiting, Anemia (low number of red blood cells)"
Modafinil ,"Indigestion, Back pain, Nausea, Anxiety, Nervousness, Dizziness, Insomnia (difficulty in sleeping), Headache, Diarrhea, Runny nose"
Molgramostim ,"Flu-like symptoms, ears, Vomiting, Nausea, Bone pain, Decreased blood pressure, Fever, Feeling of discomfort, Rash, neck and trunk), Flushing (sense of warmth in the face, Diarrhea, Breathlessness"
Mometasone ,"Skin atrophy, itching and redness), Sore throat, Stinging sensation, Sneezing, irritation, Respiratory tract infection, Paresthesia (tingling or pricking sensation), Application site reactions (burning, Nosebleeds, Headache"
Montelukast ,"Flu-like symptoms, Hives, Vomiting, Nausea, Fatigue, Dizziness, Itching, Drowsiness, Breathing problems, Rash, Skin rash, Dryness in mouth, Sleepiness, Increased white blood cell count, Headache, Diarrhea"
Morphine ,"Sweating, Vomiting, Dizziness, Constipation, Nausea, Lightheadedness, Sleepiness, Sedation"
Moxifloxacin ,"Flatulence, Burning sensation, Dizziness, Nausea, Stomach pain, Injection site reactions (pain, swelling, Dry eye, Eye discomfort, Headache, Diarrhea, redness)"
Mupirocin ,"itching and redness), irritation, Burning sensation at the site of application, Dry skin, Application site reactions (burning"
Mycophenolate mofetil ,"Vomiting, Nausea, Abdominal pain, High blood pressure, Decreased white blood cell count (neutrophils), Headache, Diarrhea"
Mycophenolate sodium ,"Vomiting, Nausea, Abdominal pain, High blood pressure, Decreased white blood cell count (neutrophils), Headache, Diarrhea"
NPH   ,"Lipodystrophy (skin thickening or pits at the injection site), Injection site allergic reaction, Itching, Rash, Edema (swelling), Hypoglycemia (low blood glucose level), Weight gain"
Nadifloxacin ,"irritation, itching and redness), Application site reactions (burning"
Nalbuphine ,"Vomiting, Dizziness, Nausea, Constipation, Sleepiness, Headache"
Naloxone ,"Injection site redness, Dizziness, Decreased blood pressure, High blood pressure, Headache"
Naltrexone ,"Joint pain, Muscle pain, Vomiting, Nausea, Abdominal pain, Anxiety, Nervousness, Restlessness, Headache, Sleep disorder, Weakness"
Nandrolone Decanoate ,"Acne, Nausea, Edema (swelling), Breast enlargement in male, Breast enlargement"
Naphazoline ,"Photophobia, Eye irritation, Blurred vision, Stinging in the eyes, Burning eyes, Dilatation of pupil, Eye pain"
Naproxen ,"Indigestion, Flu-like symptoms, Vomiting, Nausea, Dryness in mouth, Heartburn"
Nartograstim ,Bone pain
Nebivolol ,"Dizziness, Cold extremities, Decreased blood pressure, Increased potassium level in blood, Headache, Numbness of extremity, Slow heart rate, Weakness"
Neomycin ,"Eye irritation, Vomiting, Nausea, Application site irritation, Eye discomfort, Diarrhea"
Neostigmine ,"Increased saliva production, Vomiting, Nausea, Abdominal cramp, Diarrhea"
Nepafenac ,Application site irritation
Netilmicin ,"Ototoxicity, Kidney damage"
Niacinamide ,"Stiffness of face, Nausea, Sore throat, Fatigue, Portal vein fibrosis, Disorientation (alteration of mental status), Dry hair, Liver toxicity, Hepatobiliary disorder, Blockade of portal blood vessels, Headache, Heartburn"
Nicotinamide ,"Tremor, itching and redness), Vomiting, Nervousness, Anxiety, Palpitations, irritation, Weight loss, Dry skin, No common side effects seen, Application site reactions (burning, Diarrhea"
Nicotine ,"Flatulence, Vomiting, Nausea, Abdominal pain, Pharyngolaryngeal pain, Constipation, Insomnia (difficulty in sleeping), Stomatitis (Inflammation of the mouth), Dryness in mouth, Hiccup, Diarrhea, Cough"
Nicotinic acid ,"ears, Tingling, Erythema (skin redness), Itching, neck and trunk), Flushing (sense of warmth in the face"
Nimesulide ,"Nausea, Diarrhea, Increased liver enzymes, Vomiting"
Nimorazole ,"Nausea, Headache, Metallic taste, Dryness in mouth"
Nintedanib ,"Nausea, Abdominal pain, Abnormal liver function tests"
Nitazoxanide ,"Vomiting, Nausea, Dizziness, Hair loss, Fever, Abdominal pain, Abnormal liver function tests, Vertigo, Stomach pain, Headache"
Nitrazepam ,"Dizziness, Fatigue, Numbed emotions, Impaired coordination, Unsteadiness, Drowsiness, Sedation"
Nitrofurantoin ,"Nausea, Diarrhea, Vomiting"
Nitroglycerin ,"Increased heart rate, Dizziness, Nausea, Decreased blood pressure, Lightheadedness, Blurred vision, Paresthesia (tingling or pricking sensation), Headache"
Nivolumab ,"Diarrhea, Back pain, Nausea, muscle or joint) pain, Stomach pain, Fever, Constipation, Itching, Upper respiratory tract infection, Cough, Rash, Headache, Musculoskeletal (bone, Breathlessness, Decreased appetite, Weakness"
Norethisterone ,"Vaginal spotting, Vomiting, Dizziness, Nausea, Abdominal cramp, Breast tenderness, Headache"
Norfloxacin ,"Burning sensation, Nausea, Stomach pain, Application site irritation, Allergic reaction, Dryness in mouth, Metallic taste, Headache, Diarrhea"
Nortriptyline ,"Increased heart rate, Constipation, Orthostatic hypotension (sudden lowering of blood pressure on standing), Blurred vision, Difficulty in urination, Dryness in mouth, Weight gain"
Octreotide acetate ,"Flatulence, Increased glucose level in blood, Abdominal pain, Constipation, Nausea, Injection site reaction, Headache, Diarrhea"
Ofloxacin ,"Eye irritation, Burning sensation, Nausea, Vomiting, Stomach pain, Application site irritation, Dizziness, Loss of appetite, Dryness in mouth, Eye discomfort, No common side effects seen, Metallic taste, Headache, Diarrhea"
Olanzapine ,"Increased prolactin level in blood, Tremor, Dizziness, Constipation, Orthostatic hypotension (sudden lowering of blood pressure on standing), Muscle stiffness, Dryness in mouth, Sleepiness, Restlessness, Weight gain"
Olmesartan Medoxomil ,"ears, Nausea, Constipation, Tiredness, Palpitations, Glucose intolerance, Sleepiness, neck and trunk), Flushing (sense of warmth in the face, Numbness of extremity, Ankle swelling, Diarrhea, Dizziness, Cold extremities, Upset stomach, Increased potassium level in blood, Increased blood uric acid, Headache, Slow heart rate, Altered blood lipid level, Taste change, Decreased blood pressure, Weakness"
Olopatadine ,"Hypersensitivity, Nosebleeds, Cough, Dryness in mouth, Sleepiness, Bitter taste, Weakness"
Omeprazole ,"Flatulence, Vomiting, Nausea, Dizziness, Stomach pain, Tiredness, Constipation, Blurred vision, Nervousness, Skin rash, Dryness in mouth, Sleepiness, Metallic taste, Headache, Diarrhea"
OnabotulinumtoxinA ,"Pain in extremity, Flu-like symptoms, Injection site pain, Tiredness, Upper respiratory tract infection, Dryness in mouth, Headache, Neck pain, Cough"
Ondansetron ,"Flatulence, Injection site pain, Muscle pain, Fatigue, Constipation, Stomach pain, Flushing of skin, Allergic reaction, Dryness in mouth, Drowsiness, Headache, Diarrhea"
Orciprenaline ,"Tremor, Insomnia (difficulty in sleeping), Palpitations, Restlessness, Headache"
Orlistat ,"Fat in stool, Flatulence, Flatus with discharge, Abdominal pain, Oily spotting, Abdominal cramp, Diarrhea, Soft stools"
Ornidazole ,"Flatulence, Vomiting, Nausea, Dizziness, Tiredness, Application site irritation, Vertigo, Loss of appetite, Skin reaction, Dryness in mouth, No common side effects seen, Sleepiness, Metallic taste, Headache, Numbness of extremity"
Oseltamivir Phosphate ,"Nausea, Diarrhea, Abdominal pain, Vomiting"
Otilonium Bromide ,"Vomiting, Dizziness, Nausea, Stomach pain, Headache"
Oxaceprol ,"Vomiting, Dizziness, Nausea, Headache, Diarrhea"
Oxazepam ,"Tremor, Slurred speech, Dizziness, Nausea, Altered libido, Edema (swelling), Rash, Lethargy"
Oxcarbazepine ,"Abnormal vision, Tremor, Altered walking, Double vision, Vomiting, Nausea, Fatigue, Dizziness, Nystagmus (involuntary eye movement), Impaired coordination, Sleepiness, Headache"
Oxetacaine ,"Constipation, Diarrhea, Allergic reaction"
Oxiconazole ,"Blisters on skin, Burning sensation, Skin peeling, Skin irritation, Dry skin"
Oxybutynin ,"Dizziness, Constipation, Blurred vision, Dry skin, Dryness in mouth, Sleepiness, Headache, Diarrhea"
Oxymetazoline ,"Dryness, Nasal discomfort, Sneezing, Watery eyes, Irritation, Nasal congestion (stuffy nose)"
Oxytetracycline ,"Vomiting, Nausea, Photosensitivity, Stomach pain, Diarrhea"
Oxytocin ,"Uterine contractions, Headache, Nausea, Vomiting"
Paclitaxel ,"ears, Urinary tract infection, Peripheral neuropathy (tingling and numbness of feet and hand), Vomiting, Nausea, Hair loss, Decreased blood pressure, Anemia (low number of red blood cells), Upper respiratory tract infection, Bleeding, Rash, neck and trunk), Decreased white blood cell count (neutrophils), Flushing (sense of warmth in the face, Diarrhea, Low blood platelets, Weakness"
Palonosetron ,"Injection site pain, Dizziness, Constipation, Sleepiness, Headache"
Pancreatin ,"Nausea, Constipation, Stomach pain, Bloating, Diarrhea"
Pancuronium ,"redness), Injection site reactions (pain, swelling"
Panthenol ,"Eye irritation, No common side effects seen"
Pantoprazole ,"Joint pain, Flatulence, Increased saliva production, Vomiting, Nausea, Dizziness, Stomach pain, Thrombophlebitis, Headache, Diarrhea"
Papaverine ,"Decreased blood pressure, Breathlessness, Chest pain, Weakness"
Paracetamol ,"Increased heart rate, Dryness in mouth, Vomiting, Nausea, Constipation, Stomach pain, Anxiety, Sleepiness, Dizziness, Itching, Upset stomach, Allergic reaction, Restlessness, Headache, Nervousness, Insomnia (difficulty in sleeping), Blurred vision, Dark colored urine, Weakness"
Paroxetine ,"Tremor, Increased sweating, Fatigue, Memory impairment, Loss of appetite, Low sexual desire, Dryness in mouth, Decreased libido, Vomiting, Nausea, Constipation, Tiredness, Drowsiness, Confusion, Diarrhea, Anorgasmia (decreased orgasm), Dizziness, Erectile dysfunction, Uncoordinated body movements, Nervousness, Insomnia (difficulty in sleeping), Delayed ejaculation"
Pazopanib ,"Diarrhea, Hair discoloration, Vomiting, Nausea, muscle or joint) pain, Fatigue, Taste change, Tumor pain, Weight loss, Breathlessness, High blood pressure, Change in color of hair, Headache, Musculoskeletal (bone, Abnormal skin pigmentation, Decreased appetite"
Pegaptanib ,"Eye inflammation, Increased intraocular pressure, Punctate keratitis, Foreign body sensation in eyes, Eye itching, Visual impairment, Burning sensation in eye, Blurred vision, Corneal edema, Stinging in the eyes, High blood pressure, Cataract, Eye pain, Eye discharge, Eye floaters, Conjunctival hemorrhage"
Pegaspargase ,"Hives, Increased glucose level in blood, Abdominal pain, Allergic reaction, Rash, Diarrhea"
Pegfilgrastim ,"Pain in extremity, Joint pain, Back pain, Muscle pain, Bone pain, Nausea, Injection site pain, Headache, Low blood platelets"
Pembrolizumab ,"Indigestion, Diarrhea, Fatigue, muscle or joint) pain, Stomach pain, Fever, Nausea, Itching, Constipation, Rash, Musculoskeletal (bone, Decreased appetite, Cough"
Penicillamine ,"Low blood platelets, Protein in urine"
Penicillin G ,"Vomiting, Nausea, Injection site reactions (pain, swelling, Allergic reaction, Rash, Diarrhea, redness)"
Penicillin V ,"Vomiting, Nausea, Allergic reaction, Rash, Diarrhea"
Pentazocine ,"Vomiting, Dizziness, Nausea, Constipation, Sleepiness, Headache"
Pentosan polysulfate sodium ,"Abdominal pain, Nausea, Hair loss, Dizziness, Rash, Headache, Diarrhea"
Pepsin ,No common side effects seen
Perindopril erbumine ,"Indigestion, Ringing in ear, Fatigue, Skin rash, Breathlessness, Vomiting, Nausea, Constipation, Stomach pain, Diarrhea, Cough, Numbness, Vertigo, Dizziness, Itching, Allergic reaction, Cramps, Increased potassium level in blood, Headache, Decreased blood pressure, Taste change, Altered vision, Weakness"
Pethidine ,"Vomiting, Dizziness, Nausea, Constipation, Sleepiness, Headache"
Phenazopyridine ,"Urine discoloration, Vomiting, Nausea, Rash, Headache, Diarrhea"
Pheniramine ,Sleepiness
Phenobarbitone ,"Hyperactivity, Headache, Nausea, Depression, Decreased blood pressure, Fatigue, Dizziness, Constipation, Hangover, Drowsiness, Confusion, Diarrhea, Excitement"
Phenolphthalein ,Limited data available
Phenylalanine ,No common side effects seen
Phenylephrine ,"Photophobia, Vomiting, Nausea, Blurred vision, Loss of appetite, Stinging in the eyes, Allergic reaction, Eye pain, Sleepiness, Headache"
Phenytoin ,"Tremor, Confusion, Altered walking, Slurred speech, Vomiting, Dizziness, Nausea, Vertigo, Nervousness, Constipation, Rash, Headache"
Phytomenadione ,"redness), Injection site reactions (pain, swelling, No common side effects seen"
Pidotimod ,Skin rash
Pilocarpine ,"Eye irritation, Sweating, Visual impairment, Accomodation disorder, Eye pain, Chills, Frequent urge to urinate"
Pinaverium bromide ,"Nausea, Abdominal pain, Constipation, Headache, Heartburn"
Piperacillin ,"Vomiting, Nausea, Injection site reactions (pain, swelling, Allergic reaction, Rash, Diarrhea, redness)"
Piracetam ,"Nervousness, Injection site reactions (pain, swelling, Abnormality of voluntary movements, redness), Weight gain"
Pirfenidone ,"Dizziness, Insomnia (difficulty in sleeping), Tiredness, Loss of appetite, Upper respiratory tract infection, Weight loss, Headache, Sinus inflammation"
Piribedil ,"Headache, Feeling of discomfort, Sleepiness, Vomiting"
Piroxicam ,"Indigestion, Vomiting, Nausea, Stomach pain, Injection site reactions (pain, swelling, Diarrhea, redness)"
Placenta Extracts ,Limited data available
Plerixafor ,"Nausea, Diarrhea, Injection site reaction"
Pneumococcal Polysaccharide Vaccine ,"Injection site redness, Muscle pain, Tiredness, Headache, Weakness"
Policosanol ,"Fatigue, Insomnia (difficulty in sleeping), Weight loss, Rash, Headache, Frequent urge to urinate"
Polidocanol ,"Pain in extremity, Injection site pain, Thrombophlebitis"
Polio Vaccine ,"Induration (hardening of a normally soft tissue or organ), Injection site reactions (pain, swelling, Fever, redness)"
Polycarbophil ,"Bloating, Abdominal distension"
Polyethylene Glycol ,"Nausea, Stomach pain, Stinging sensation, Itching, Blurred vision, Irritation, Diarrhea"
Polymyxin B ,"itching and redness), Burning sensation, Application site irritation, irritation, Burning sensation at the site of application, Application site reactions (burning"
Poractant Alfa ,"Chronic lung disease, Hypoxia (decreased oxygen level in blood), Brain hemorrhage, Infection, Pnemothorax (accumulation of air or gas in the chest or pleural space)"
Potassium Chloride ,"Muscle weakness, Flatulence, Vomiting, Nausea, Abdominal pain, Injection site reactions (pain, swelling, Paresthesia (tingling or pricking sensation), Diarrhea, redness)"
Potassium Citrate ,"Vomiting, Nausea, Abdominal pain, Stomach pain, Paralysis, Allergic reaction, Diarrhea"
Povidone Iodine ,"itching and redness), Application site irritation, irritation, No common side effects seen, Application site reactions (burning"
Pralidoxime ,"Increased heart rate, Muscle weakness, Double vision, Dizziness, Nausea, Accomodation disorder, High blood pressure, Drowsiness, Headache"
Pramipexole ,"Dizziness, Fatigue, Nausea, Hallucination, Constipation, Peripheral edema, Dryness in mouth, Sleepiness"
Pramoxine ,Limited data available
Prasugrel ,Bleeding
Praziquantel ,"Vomiting, Nausea, Dizziness, Hair loss, Fever, Abdominal pain, Abnormal liver function tests, Vertigo, Headache"
Prednisolone ,"Eye irritation, Burning sensation, Injection site reactions (pain, Behavioural changes, Blurred vision, Upset stomach, swelling, Reduction in bone density, Watery eyes, redness), Weight gain, Mood changes"
Pregabalin ,"Increased heart rate, Dizziness, Constipation, Tiredness, Orthostatic hypotension (sudden lowering of blood pressure on standing), Blurred vision, Difficulty in urination, Uncoordinated body movements, Edema (swelling), Sleepiness, Dryness in mouth, Weight gain, Difficulty in paying attention"
Prilocaine ,"Rash, irritation, itching and redness), Application site reactions (burning"
Primaquine ,"Hives, Vomiting, Dizziness, Nausea, Stomach pain, Abdominal pain, Upper abdominal pain, Itching, Rash, Gastrointestinal discomfort, Headache, Heartburn"
Probenecid ,"Nausea, Diarrhea, Loss of appetite"
Prochlorperazine ,"Drowsiness, Orthostatic hypotension (sudden lowering of blood pressure on standing)"
Progesterone ,"Joint pain, Abdominal bloating, Abdominal pain, Dizziness, Depression, Vomiting, Hot flushes, Nausea, Stomach pain, Burning sensation, Bloating, Itching, Breast tenderness, Uterine bleeding, Urinary incontinence, Headache, Vaginal discharge"
Promethazine ,"Dizziness, Blurred vision, Headache, Dryness in mouth"
Proparacaine ,"Burning sensation in eye, Eye redness, Stinging in the eyes"
Propofol ,"Local site pain, Vomiting, Nausea, Decreased blood pressure, Headache, Slow heart rate"
Propyl Thiouracil ,"Nausea, Hair loss, Pain, Skin rash, Paresthesia (tingling or pricking sensation), Headache"
Protamine sulfate ,"Decreased blood pressure, Injection site reactions (pain, swelling, redness), Slow heart rate"
Prulifloxacin ,"Nausea, Stomach pain, Abnormal liver function tests, Allergic reaction, Diarrhea"
Pseudoephedrine ,"Nausea, Insomnia (difficulty in sleeping), Nervousness, Dizziness, Stomach discomfort, Sleepiness, Restlessness, Headache"
Purified Vi Polysaccharide Typhoid Vaccine ,"Nausea, Injection site reactions (pain, swelling, Headache, Diarrhea, redness)"
Pyrantel Pamoate ,"Vomiting, Dizziness, Nausea, Hair loss, Fever, Abdominal pain, Abnormal liver function tests, Vertigo, Headache"
Pyrazinamide ,"Joint pain, Hepatitis (viral infection of liver), Increased liver enzymes, Jaundice"
Pyridostigmine ,"Excessive salivation, Muscle twitching, Altered frequency of urination, Sweating, Nausea, Abdominal pain, Dizziness, Gastro-esophageal reflux disease, Blurred vision, Watery eyes, Muscle cramp, Paresthesia (tingling or pricking sensation), Headache, Diarrhea, Breathlessness, Runny nose, Heartburn, Weakness"
